;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;cluster
Adel Tawil - Unsere Lieder;682;1342;1809;1746;1643;1500;1129;1336;1488;1663;811;1862;1703;1233;676;513;328;308;288;265;260;256;215;184;172;133;2
Annenmaykantereit - Marie;653;976;841;892;868;749;732;773;710;598;668;508;462;407;483;302;299;251;222;211;216;205;219;217;201;146;2
C Arma - Yapma - Radio Edit;19;42;57;32;48;51;41;36;42;30;27;21;16;26;24;26;21;25;22;27;14;11;9;11;11;8;2
Childish Gambino - This Is America;338;602;840;857;872;862;819;609;520;445;315;311;294;334;304;302;360;311;292;276;240;240;319;214;217;169;2
Chris Brown - Undecided;604;925;1076;1004;859;669;664;611;527;436;422;423;410;348;326;307;285;288;248;253;212;196;241;165;167;121;2
Christine and The Queens - Doesn't matter_EnglischVersion;12;9;16;21;10;26;10;16;9;10;9;16;5;26;2;2;2;5;3;0;2;3;1;3;1;3;2
Daya - New;11;11;9;8;18;44;35;11;7;9;9;8;7;7;6;6;6;7;5;3;6;4;2;6;3;5;2
Die Lochis - Lieblingslied;57;87;88;92;214;257;232;248;203;216;229;194;171;168;381;133;186;187;189;118;126;120;93;86;96;62;2
Dotan - Numb;490;525;610;233;179;191;120;83;80;77;89;86;70;45;55;35;37;39;34;28;34;27;31;30;28;12;2
Gaullin - Moonlight;22;23;34;32;29;23;48;65;81;75;45;78;138;156;248;346;372;465;621;1015;1370;1657;1717;1642;1802;1297;2
George Ezra - Pretty Shining People;1380;1446;1431;1163;838;620;588;581;452;389;341;291;299;303;331;290;321;236;266;207;177;195;185;173;207;222;2
GestÃ¶rt aber Geil & Koby Funk feat. Wincent Weiss - Unter Meiner Haut;76;62;73;73;78;208;390;434;506;685;797;808;924;743;893;857;1004;1099;1127;1119;1116;1095;1135;1145;1100;759;2
GestÃ¶rt aber Geil feat. Sebastian HÃ¤mer - Ich & Du;197;229;624;662;771;896;891;842;833;835;807;920;987;955;916;892;927;939;896;1003;913;968;1204;1506;1498;929;2
Glasperlenspiel - Geiles Leben;180;240;202;218;264;243;258;251;233;231;216;174;192;170;214;197;209;225;195;221;174;188;184;163;169;111;2
Joel Brandenstein - Diese Liebe;13;16;19;53;96;57;35;30;14;28;12;21;16;0;24;13;7;19;13;16;6;5;3;13;5;25;2
Josh. - Cordula GrÃ¼n;489;628;831;1016;1090;1160;1218;1144;1041;984;986;818;752;714;670;554;452;585;657;625;596;566;561;615;608;428;2
Khalid - Talk;250;770;741;802;794;729;793;792;801;771;827;558;578;712;659;622;547;532;450;427;409;439;363;339;359;227;2
King Princess - 1950;71;113;49;132;92;93;113;71;41;36;35;17;17;16;72;67;73;71;14;12;13;10;16;19;4;6;2
Kraftwerk - Das Modell;22;26;15;27;16;53;15;30;26;18;19;103;23;16;28;35;27;16;13;28;13;19;25;37;19;16;2
Larsito & Mandy Capristo - Si es amor;196;242;99;96;89;41;35;32;28;31;51;51;45;24;18;22;17;16;7;6;7;4;5;3;2;2;2
LEA & Cyril - Immer wenn wir uns sehn;512;549;932;1219;1267;1354;1331;1492;1355;1113;1105;1020;1058;1026;994;822;744;801;929;871;810;764;698;521;415;297;2
Leftwing:Kody - I Feel It;71;160;216;226;164;72;205;191;75;84;160;190;78;72;58;87;83;77;78;78;97;104;75;73;78;61;2
Mark Forster - Au Revoir;4;7;11;32;41;66;131;210;275;319;329;360;470;464;520;560;632;647;1141;1063;1159;1196;1244;1254;1264;998;2
Mathea - 2x;40;150;143;332;368;331;271;271;256;329;286;230;190;168;162;97;106;112;132;144;178;312;327;403;432;343;2
Mitski - Geyser;31;49;45;59;46;39;36;24;11;12;9;8;8;6;18;11;10;7;9;9;8;11;8;10;7;8;2
Moses Sumney - Title Of This Song;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2
Nena - In Meinem Leben;9;19;6;14;13;13;5;9;10;15;13;14;10;7;20;13;16;19;14;30;17;20;16;14;28;10;2
