;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;cluster
Ariana Grande - 7 rings;231;272;279;302;325;326;372;311;358;356;375;335;344;391;411;426;439;414;512;488;455;490;443;444;425;502;493;461;446;495;512;507;442;474;517;440;475;547;493;500;426;447;399;441;498;390;438;413;459;464;418;463;420;406;456;451;437;439;429;433;402;383;354;347;368;348;353;340;343;297;327;319;322;307;330;302;316;277;345;413;278;275;289;287;327;283;257;292;292;276;286;279;298;290;265;259;250;234;243;234;249;237;240;247;231;219;219;197;193;181;161;167;164;169;158;155;143;169;146;181;161;179;184;187;193;167;181;190;216;168;188;167;193;197;226;199;201;206;197;186;212;214;184;201;203;177;161;170;174;178;180;168;173;158;162;173;154;156;146;159;5
Bausa - Was Du Liebe nennst;1;3;2;4;8;23;47;50;75;84;92;95;96;127;130;128;149;170;161;154;160;188;183;216;216;286;309;339;367;401;358;413;420;402;409;457;461;431;465;460;448;468;450;427;458;435;477;436;481;466;482;470;479;543;507;518;535;532;516;544;514;504;508;511;478;496;483;488;490;550;533;515;529;523;513;488;494;527;491;499;459;517;475;524;476;473;473;473;508;514;508;523;501;486;516;534;511;515;509;497;485;468;503;475;502;505;493;559;553;512;468;501;538;481;488;445;431;434;432;437;445;438;415;433;461;454;455;452;410;439;447;419;417;460;452;454;449;433;419;441;421;425;478;427;387;389;365;392;380;362;360;306;287;319;329;343;303;313;313;315;5
Lady Gaga, Bradley Cooper - Shallow;25;38;36;86;42;162;120;77;168;109;95;119;151;174;160;170;172;187;241;241;182;255;243;233;232;211;222;269;258;288;305;320;295;316;316;341;349;341;369;376;347;368;371;430;405;407;394;403;504;492;522;534;505;421;552;511;529;666;543;562;580;550;494;568;546;622;627;597;621;683;642;697;548;653;643;570;569;706;708;719;723;705;613;712;755;781;672;759;726;813;782;777;860;696;761;848;823;777;819;810;885;899;769;717;800;776;764;740;805;856;726;824;782;771;812;893;824;726;736;693;734;754;704;703;675;597;621;634;569;593;616;604;632;640;656;733;634;654;624;636;596;646;634;640;602;587;623;593;582;842;613;585;582;609;560;629;540;536;581;520;5
Lauv & Anne-Marie - Fuck, I'm Lonely;98;137;79;131;118;150;135;226;159;190;239;278;242;172;324;310;326;395;371;345;250;352;362;352;388;418;479;417;462;487;482;527;515;546;522;490;596;680;638;560;568;633;581;477;493;557;522;467;465;468;592;566;503;455;519;514;555;523;499;423;470;512;550;494;522;513;470;459;397;471;506;463;471;518;540;499;523;459;505;461;550;466;450;450;436;438;503;415;503;487;377;457;419;464;373;424;415;437;441;366;363;323;352;407;372;261;262;236;222;197;211;216;209;181;207;192;180;197;171;144;136;151;123;155;138;163;186;152;141;145;118;134;112;153;98;114;121;110;116;122;96;74;95;62;57;99;56;55;89;70;62;63;64;66;64;77;57;71;63;59;5
Lotte & Max Giesinger - Auf das, was da noch kommt;93;111;132;234;185;200;222;231;264;244;267;319;329;396;447;498;455;451;499;504;421;475;556;614;626;516;609;553;496;601;597;618;586;605;545;601;647;678;623;596;697;643;621;639;700;633;635;696;768;722;685;747;782;795;791;774;718;762;826;716;709;797;774;741;839;767;810;779;753;737;824;811;808;717;730;784;756;777;776;796;784;819;782;777;788;773;816;739;777;794;823;753;728;808;821;808;771;782;752;756;773;780;727;751;736;702;781;739;768;754;748;619;543;597;548;659;683;564;603;548;583;568;507;549;589;523;529;583;572;574;506;536;536;583;604;589;568;619;604;574;490;541;602;606;563;583;568;509;540;585;553;560;496;560;524;498;570;516;564;607;5
Mark Forster - Einmal;256;133;214;142;287;289;313;296;286;290;370;317;375;335;411;398;411;440;308;472;430;413;449;430;569;503;576;520;520;554;538;539;503;447;544;484;455;536;568;535;508;528;581;563;661;583;565;725;594;632;708;728;713;697;735;712;654;755;768;704;734;616;762;786;828;854;805;840;822;851;771;886;937;911;880;937;838;905;864;856;776;812;791;909;802;740;809;791;781;844;913;887;850;885;907;903;962;890;877;903;905;866;934;881;806;831;786;871;794;848;809;798;759;792;807;744;677;738;671;623;720;715;667;640;666;646;588;560;517;526;519;462;493;480;478;544;457;496;464;459;437;448;457;450;417;482;406;345;378;358;347;408;371;327;345;337;323;368;331;363;5
Sam Smith - How Do You Sleep?;69;102;118;201;202;235;290;288;276;330;332;324;255;317;410;396;412;415;393;428;485;418;433;500;437;478;531;469;499;590;564;587;529;411;550;514;557;463;506;592;461;586;559;601;603;544;535;588;500;553;627;528;470;613;600;451;600;663;578;566;556;646;641;693;706;601;558;645;648;613;661;691;683;670;652;692;560;616;681;627;708;666;670;693;617;660;634;636;639;568;657;607;634;648;588;629;531;589;513;553;564;519;528;497;566;523;546;603;584;510;525;510;490;477;510;500;472;506;509;458;496;475;412;413;407;415;358;426;395;340;372;360;319;345;365;362;328;367;380;292;248;241;321;276;281;244;239;244;232;213;223;168;285;165;210;228;184;193;231;264;5
Taylor Swift feat. Brendon Urie - Me!;113;167;222;258;325;407;525;486;533;535;535;574;614;646;714;700;777;712;719;771;775;800;825;848;903;863;818;1007;924;935;901;916;925;935;911;942;927;1023;1026;906;988;1020;991;931;957;988;1021;1068;1086;1046;1050;883;938;941;1007;927;947;949;1005;951;952;909;933;884;862;848;885;902;819;878;912;869;834;820;876;801;757;781;772;748;692;745;712;685;659;734;666;633;608;624;628;662;593;604;597;644;619;446;435;465;465;487;444;405;431;428;399;367;394;347;332;336;314;314;299;303;302;274;305;332;284;259;260;244;226;270;222;200;229;230;225;219;217;207;185;160;191;182;172;163;171;163;185;198;164;136;161;134;173;155;162;188;156;170;158;161;172;153;167;156;5
Tim Bendzko - Keine Maschine;217;257;136;159;157;206;203;270;266;333;330;290;335;268;348;336;391;346;379;375;326;381;327;426;395;345;375;391;394;348;407;401;417;386;422;308;346;385;337;445;327;436;324;386;411;476;473;503;423;622;522;637;632;605;673;649;520;582;693;571;636;591;650;574;607;658;632;701;603;648;599;636;689;588;634;595;606;612;550;606;594;568;647;597;576;626;605;651;563;630;593;566;587;586;669;582;599;633;536;545;539;536;567;575;580;538;572;538;561;588;512;578;541;497;516;504;553;478;521;541;450;484;493;484;500;497;521;470;436;452;466;485;437;442;453;398;469;433;425;421;290;266;323;200;230;263;210;245;251;199;189;170;162;256;195;194;205;250;196;143;5
Wincent Weiss - Hier mit dir;48;81;134;94;90;169;137;123;134;200;166;160;185;164;217;158;225;240;223;214;309;277;350;333;396;399;412;354;429;477;499;484;483;575;497;471;587;557;589;560;459;527;502;582;578;553;498;567;521;538;578;511;517;555;530;539;557;607;477;569;575;602;531;580;597;583;616;583;576;592;646;669;564;655;588;575;539;610;609;666;614;581;690;657;644;634;667;654;688;631;661;654;662;685;634;617;694;674;628;625;657;596;666;674;639;623;685;623;688;701;687;707;686;692;737;693;609;645;656;626;647;662;679;597;633;533;623;670;659;637;699;678;679;669;690;685;630;671;642;627;594;664;650;588;652;666;618;529;613;686;683;633;609;456;524;542;567;513;543;482;5
Wincent Weiss - Kaum Erwarten;75;104;92;101;103;191;149;247;208;207;280;266;274;210;322;292;375;347;308;342;317;365;397;376;380;480;476;359;491;449;393;357;452;432;428;420;427;462;455;395;481;467;433;493;455;477;454;526;501;550;513;601;573;537;611;525;571;502;562;580;568;600;519;501;542;631;691;580;634;574;634;633;615;672;643;620;681;688;635;641;693;718;615;688;621;608;612;679;597;604;671;688;608;633;654;590;680;652;516;530;506;541;543;528;516;491;519;530;529;500;487;521;460;465;550;477;526;471;495;437;458;516;472;516;500;471;483;454;452;419;442;486;434;471;400;409;493;408;421;461;409;417;425;430;411;451;399;389;406;458;380;414;388;410;368;326;391;325;314;348;5
Taylor Swift - You Need To Calm Down;70;109;202;210;222;199;205;226;297;362;333;382;274;370;332;337;427;334;295;383;341;394;362;419;440;426;476;487;464;488;404;472;444;492;497;526;534;576;498;493;511;450;487;446;466;505;486;549;500;529;577;530;567;596;498;574;568;587;563;585;611;566;598;623;597;655;674;601;558;638;630;611;650;577;575;596;552;603;635;646;615;532;573;545;555;657;643;562;607;575;611;520;580;555;492;554;552;565;509;541;503;495;565;550;504;532;533;510;427;473;477;431;442;489;445;364;398;337;325;396;403;388;444;368;367;362;367;378;317;368;337;309;354;252;333;272;327;280;220;289;213;174;188;158;170;179;166;171;166;187;155;147;148;172;160;134;147;197;123;146;5
