;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;cluster
Ariana Grande - 7 rings;2107;2470;3145;3258;3393;3328;3038;3078;2877;2396;2223;2164;2013;1875;1681;1337;1104;1252;1303;1412;1352;1201;1095;1112;1078;800;5
Bausa - Was Du Liebe nennst;88;619;1052;1737;2770;3190;3164;3465;3653;3496;3595;3492;3425;3586;3439;3591;3249;3083;3039;3108;2892;2406;2219;2137;1921;1365;5
Lady Gaga, Bradley Cooper - Shallow;509;893;1353;1665;2098;2491;2914;3537;3924;4264;4322;4886;5288;5542;5699;5491;5544;4860;4269;4577;4328;4406;3866;3768;3922;2693;5
Lauv & Anne-Marie - Fuck, I'm Lonely;848;1506;2321;2768;3541;4165;3562;3617;3532;3326;3520;3341;3159;2989;2624;1605;1337;1010;988;834;539;469;454;446;438;260;5
Lotte & Max Giesinger - Auf das, was da noch kommt;1177;2050;3275;3949;4048;4485;4692;5296;5302;5426;5430;5511;5510;5471;5275;5111;4197;3867;3836;4141;3953;3803;3795;3425;3465;2311;5
Mark Forster - Einmal;1634;2269;2870;3460;3645;3614;4272;4925;4993;5786;6160;5913;5680;6284;6172;5737;5188;4677;3665;3378;3097;2534;2381;2091;1984;1219;5
Sam Smith - How Do You Sleep?;1217;2122;2939;3266;3730;3679;3930;3842;4250;4464;4609;4661;4411;4226;3740;3801;3464;3076;2570;2439;1850;1530;1632;1670;1634;1065;5
Taylor Swift feat. Brendon Urie - Me!;2017;3923;5168;6064;6447;6832;7042;6792;6646;6078;5869;5135;4552;4165;3132;2603;2111;1875;1542;1260;1178;1138;1118;1044;937;650;5
Tim Bendzko - Keine Maschine;1335;2092;2501;2640;2775;2584;2996;4340;4243;4423;4347;4174;4244;4222;3878;3887;3610;3449;3267;3041;1782;1472;1390;1221;1144;739;5
Wincent Weiss - Hier mit dir;753;1132;1586;2521;3444;3750;3801;3768;3918;4127;4236;4427;4579;4620;4485;4714;4718;4377;4645;4614;4432;4209;3667;3454;3002;2064;5
Wincent Weiss - Kaum Erwarten;815;1692;2303;2833;3002;3107;3339;3910;3902;4153;4498;4678;4392;4505;3680;3577;3444;3370;3170;3063;2942;2845;2382;2169;2042;1424;5
Katy Perry - Never Really Over;1694;2726;3269;3988;4496;4677;4708;5371;5249;5125;5461;4932;4308;3461;2824;2351;1343;1214;1002;879;823;617;637;715;647;488;5
