;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;cluster
Camila Cabello feat. Young Thug - Havana;810;1256;1773;2459;3072;3884;4329;4665;5813;5992;6110;6136;6444;6323;6019;6401;6255;6267;6588;6637;6278;6101;5521;4638;4685;3176;1
Dean Lewis - Be Alright;71;160;509;971;1673;1953;2686;3829;4474;5229;5698;6355;6649;6998;7315;7472;7477;7158;7426;7892;7800;7515;7380;7039;6655;4625;1
Dermot Kennedy - Power Over Me;260;473;662;1164;2194;2356;2556;3102;4352;5713;6311;6689;7270;7675;7752;7630;7658;7447;7294;6580;5868;5862;5795;5699;5300;3590;1
DJ Regard - Ride It;2;2;4;28;50;248;376;545;980;1437;2453;3123;4073;4747;5736;6132;6335;6716;7215;7534;8315;8273;8361;8696;8813;3796;1
Dynoro & Gigi D'agostino - In My Mind;520;1156;1609;1980;2641;3514;4581;5122;5798;6356;6367;6604;6764;7006;6695;7766;7648;7515;7769;7511;7671;7521;7156;6767;6609;4326;1
Jonas Blue feat. Jack & Jack - Rise;608;926;985;1431;2046;2778;3807;4766;5523;6234;6629;6994;7344;7548;7827;7969;7339;7526;7232;7096;7126;6877;6621;6514;5663;3700;1
Mark Forster - ChÃ¶re;391;734;1218;1831;2562;3263;3742;4360;4853;5256;5955;5775;5697;6241;6692;6782;7084;6626;6329;5617;5206;4969;5022;4742;4463;3172;1
Mark Forster - Sowieso;549;1116;1620;2188;2477;2836;3002;3925;3895;4317;4498;4967;5328;5667;6064;6501;6562;6816;7277;8110;8334;8421;8484;8175;7630;5126;1
Mark Ronson feat. Miley Cyrus - Nothing Breaks Like A Heart;763;1595;2401;2852;3304;4057;5280;5921;6764;7366;7851;7785;7969;7541;7599;7840;7466;7165;7036;6229;5952;5953;5419;5183;5030;3531;1
Maroon 5 - Memories;617;769;1153;1725;1996;2443;2682;3432;4252;4519;4717;5441;5937;5992;6341;6998;7306;7358;7300;7480;7611;7794;6024;0;0;0;1
Max Giesinger - Wenn sie tanzt;573;1421;1985;2464;2928;3321;3577;3678;3971;4992;5480;5764;6051;6004;5933;6017;6216;6216;6233;6216;6186;6119;5296;4930;4890;3443;1
Namika - Je ne parle pas franÃ§ais;624;1529;2037;2180;2772;3084;3487;4057;4438;4915;5131;5738;6630;6908;6608;6608;8271;7746;7407;7494;7108;6730;5759;5539;5377;3317;1
Post Malone - Circles;849;1992;2758;3078;3918;4495;4819;5450;6435;6838;7242;7383;7060;7434;7444;7385;7466;7567;7423;7553;7373;7149;7211;6766;5967;4117;1
Younotus & Janieck & Senex - Narcotic;567;781;1051;1287;1437;1790;2440;2612;3281;4753;6062;6768;7401;7452;7813;8015;8056;8354;8228;8166;8301;7848;7856;7656;7179;4867;1
Adel Tawil - Unsere Lieder;682;1342;1809;1746;1643;1500;1129;1336;1488;1663;811;1862;1703;1233;676;513;328;308;288;265;260;256;215;184;172;133;2
Annenmaykantereit - Marie;653;976;841;892;868;749;732;773;710;598;668;508;462;407;483;302;299;251;222;211;216;205;219;217;201;146;2
C Arma - Yapma - Radio Edit;19;42;57;32;48;51;41;36;42;30;27;21;16;26;24;26;21;25;22;27;14;11;9;11;11;8;2
Childish Gambino - This Is America;338;602;840;857;872;862;819;609;520;445;315;311;294;334;304;302;360;311;292;276;240;240;319;214;217;169;2
Chris Brown - Undecided;604;925;1076;1004;859;669;664;611;527;436;422;423;410;348;326;307;285;288;248;253;212;196;241;165;167;121;2
Christine and The Queens - Doesn't matter_EnglischVersion;12;9;16;21;10;26;10;16;9;10;9;16;5;26;2;2;2;5;3;0;2;3;1;3;1;3;2
Daya - New;11;11;9;8;18;44;35;11;7;9;9;8;7;7;6;6;6;7;5;3;6;4;2;6;3;5;2
Die Lochis - Lieblingslied;57;87;88;92;214;257;232;248;203;216;229;194;171;168;381;133;186;187;189;118;126;120;93;86;96;62;2
Dotan - Numb;490;525;610;233;179;191;120;83;80;77;89;86;70;45;55;35;37;39;34;28;34;27;31;30;28;12;2
Gaullin - Moonlight;22;23;34;32;29;23;48;65;81;75;45;78;138;156;248;346;372;465;621;1015;1370;1657;1717;1642;1802;1297;2
George Ezra - Pretty Shining People;1380;1446;1431;1163;838;620;588;581;452;389;341;291;299;303;331;290;321;236;266;207;177;195;185;173;207;222;2
GestÃ¶rt aber Geil & Koby Funk feat. Wincent Weiss - Unter Meiner Haut;76;62;73;73;78;208;390;434;506;685;797;808;924;743;893;857;1004;1099;1127;1119;1116;1095;1135;1145;1100;759;2
GestÃ¶rt aber Geil feat. Sebastian HÃ¤mer - Ich & Du;197;229;624;662;771;896;891;842;833;835;807;920;987;955;916;892;927;939;896;1003;913;968;1204;1506;1498;929;2
Glasperlenspiel - Geiles Leben;180;240;202;218;264;243;258;251;233;231;216;174;192;170;214;197;209;225;195;221;174;188;184;163;169;111;2
Joel Brandenstein - Diese Liebe;13;16;19;53;96;57;35;30;14;28;12;21;16;0;24;13;7;19;13;16;6;5;3;13;5;25;2
